"rank","global_rank","so_answer_id"
176,8611,"7401635"
177,8671,"17691245"
178,8717,"13259563"
179,8863,"787705"
180,8880,"15995501"
181,8993,"7454338"
182,9004,"8846218"
183,9026,"7438009"
184,9167,"24511534"
185,9168,"43807"
186,9322,"959776"
187,9343,"4581429"
188,9369,"11986662"
189,9377,"2648995"
190,9419,"16516670"
191,9448,"13239999"
192,9490,"15352686"
193,9556,"10332167"
194,9567,"137288"
195,9571,"5483341"
196,9595,"2490486"
197,9605,"150181"
198,9651,"8192887"
199,9671,"17294083"
200,9687,"19059180"
201,9718,"18119273"
202,9763,"7226186"
203,9793,"3973560"
204,9803,"12099759"
205,9838,"10621710"
206,9856,"12060103"
207,9857,"12756499"
208,9862,"209824"
209,9876,"4483760"
210,9900,"16498516"
211,9940,"14795318"
212,9943,"9168863"
213,9963,"7735734"
214,9999,"22755993"
215,10008,"4389627"
216,10014,"10751663"
217,10036,"4841567"
218,10064,"7630604"
219,10068,"4452968"
220,10102,"27069845"
221,10154,"1657925"
222,10160,"3601583"
223,10208,"14972086"
224,10236,"189739"
225,10303,"9960432"
226,10340,"12133431"
227,10344,"7379939"
228,10368,"573468"
229,10392,"919420"
230,10434,"7167467"
231,10449,"5387398"
232,10502,"8985476"
233,10505,"16891978"
234,10558,"4697946"
235,10600,"4403570"
236,10631,"12310930"
237,10660,"6199346"
238,10723,"11032471"
239,10733,"9748544"
240,10742,"8005116"
241,10743,"470747"
242,10813,"2353064"
243,10868,"2006544"
244,10882,"14899024"
245,10910,"5924132"
246,10940,"1108443"
247,11023,"9295685"
248,11037,"4286828"
249,11043,"7866352"
250,11071,"790224"
251,11158,"2938209"
252,11192,"18831709"
253,11222,"12460596"
254,11295,"1489555"
255,11441,"9277960"
256,11454,"20511262"
257,11547,"5683621"
258,11602,"2792739"
259,11670,"9132065"
260,11693,"1384816"
261,11721,"9856272"
262,11727,"2360247"
263,11797,"9898528"
264,11861,"18228702"
265,11900,"2674062"
266,11984,"2071743"
267,12005,"12167781"
268,12022,"10960224"
269,12042,"15751951"
270,12177,"2297629"
271,12262,"2707431"
272,12271,"23588004"
273,12345,"5720542"
274,12372,"18766311"
275,12396,"18496411"
276,12399,"2533250"
277,12535,"10528461"
278,12545,"14837262"
279,12547,"3723486"
280,12565,"18031725"
281,12569,"14090907"
282,12572,"15248918"
283,12596,"35187046"
284,12627,"1748044"
285,12712,"6579976"
286,12713,"2269871"
287,12718,"16475547"
288,12732,"793250"
289,12738,"6712708"
290,12754,"27096697"
291,12909,"4050114"
292,12924,"6270381"
293,12946,"6271253"
294,12964,"9907605"
295,13008,"13572010"
296,13048,"12280599"
297,13083,"15694375"
298,13134,"5617045"
299,13136,"4252197"
300,13146,"905974"
301,13156,"13662648"
302,13184,"13464983"
303,13194,"315668"
304,13202,"2572883"
305,13234,"8006994"
306,13249,"5308980"
307,13283,"10145615"
308,13328,"14856119"
309,13337,"17772053"
310,13358,"8756596"
311,13417,"8263301"
312,13477,"4279481"
313,13493,"7380641"
314,13509,"5055036"
315,13512,"5652385"
316,13607,"9276720"
317,13620,"213291"
318,13685,"7112292"
319,13741,"3028429"
320,13766,"6196829"
321,13790,"2541618"
322,13803,"10546083"
323,13817,"21803991"
324,13819,"1840463"
325,13838,"7553716"
326,13890,"3859298"
327,13907,"8270824"
328,13908,"13261411"
329,14152,"19279560"
330,14205,"18220110"
331,14285,"3799176"
332,14289,"1410961"
333,14320,"17842297"
334,14360,"661078"
335,14365,"23551020"
336,14369,"17018950"
337,14383,"931663"
338,14399,"16829381"
339,14404,"14320411"
340,14472,"17865740"
341,14541,"3035893"
342,14597,"9864611"
